"heading","first","last","file"
"Health And Safety (Offences) Bill","uk.org.publicwhip/lords/2008-10-10a.411.2","uk.org.publicwhip/lords/2008-10-10a.414.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-10-10a.xml"
"Criminal Justice Bill","uk.org.publicwhip/lords/2003-11-17a.1828.0","uk.org.publicwhip/lords/2003-11-17a.1829.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-11-17a.xml"
"Healthy Homes Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-05-19b.519.4","uk.org.publicwhip/lords/2023-05-19b.520.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml"
"Government Of Wales (Devolved Powers) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-05-19b.520.3","uk.org.publicwhip/lords/2023-05-19b.522.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml"
"Carer’s Leave Bill - Third Reading","uk.org.publicwhip/lords/2023-05-19b.522.5","uk.org.publicwhip/lords/2023-05-19b.525.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml"
"Electricity Transmission (Compensation) Bill - Third Reading","uk.org.publicwhip/lords/2023-05-19b.525.3","uk.org.publicwhip/lords/2023-05-19b.527.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml"
"Terrorism Bill","uk.org.publicwhip/lords/2000-07-04a.1458.1","uk.org.publicwhip/lords/2000-07-04a.1459.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-04a.xml"
"Football (Disorder) (Amendment) Bill","uk.org.publicwhip/lords/2002-02-14a.1194.2","uk.org.publicwhip/lords/2002-02-14a.1195.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-02-14a.xml"
"Copyright (Visually Impaired Persons) Bill","uk.org.publicwhip/lords/2002-10-11a.551.2","uk.org.publicwhip/lords/2002-10-11a.552.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-10-11a.xml"
"Electoral Administration Bill","uk.org.publicwhip/lords/2006-06-07b.1335.4","uk.org.publicwhip/lords/2006-06-07b.1336.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-06-07b.xml"
"Safeguarding Vulnerable Groups Bill [Hl]","uk.org.publicwhip/lords/2006-06-07b.1353.2","uk.org.publicwhip/lords/2006-06-07b.1353.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-06-07b.xml"
"National Insurance Contributions Bill - Third Reading","uk.org.publicwhip/lords/2022-02-22c.170.2","uk.org.publicwhip/lords/2022-02-22c.171.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-02-22c.xml"
"Community Care (Delayed Discharges Etc.) Bill","uk.org.publicwhip/lords/2003-03-17a.42.0","uk.org.publicwhip/lords/2003-03-17a.42.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-03-17a.xml"
"Crime (International Co-Operation) Bill [Hl]","uk.org.publicwhip/lords/2003-03-17a.64.4","uk.org.publicwhip/lords/2003-03-17a.65.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-03-17a.xml"
"Racial And Religious Hatred Bill","uk.org.publicwhip/lords/2006-01-24c.1071.0","uk.org.publicwhip/lords/2006-01-24c.1078.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-01-24c.xml"
"Subsidy Control Bill - Third Reading","uk.org.publicwhip/lords/2022-03-28b.1279.4","uk.org.publicwhip/lords/2022-03-28b.1283.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-28b.xml"
