"heading","first","last","file"
"Covert Human Intelligence Sources (Criminal Conduct) Bill - Third Reading","uk.org.publicwhip/lords/2021-01-21a.1294.1","uk.org.publicwhip/lords/2021-01-21a.1294.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-21a.xml"
"Public Audit (Wales) Bill [Hl]","uk.org.publicwhip/lords/2004-05-11a.173.0","uk.org.publicwhip/lords/2004-05-11a.173.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-05-11a.xml"
"Armed Forces (Service Complaints And Financial Assistance) Bill [Hl] — Third Reading","uk.org.publicwhip/lords/2014-10-20a.433.0","uk.org.publicwhip/lords/2014-10-20a.434.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-10-20a.xml"
"Nationality, Immigration And Asylum Bill","uk.org.publicwhip/lords/2002-10-31a.421.1","uk.org.publicwhip/lords/2002-10-31a.421.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-10-31a.xml"
"European Union (Amendment) Bill","uk.org.publicwhip/lords/2008-06-18a.1091.2","uk.org.publicwhip/lords/2008-06-18a.1099.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-06-18a.xml"
"Government Resources And Accounts Bill","uk.org.publicwhip/lords/2000-07-12a.255.3","uk.org.publicwhip/lords/2000-07-12a.255.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-12a.xml"
"Political Parties And Elections Bill","uk.org.publicwhip/lords/2009-07-09a.788.1","uk.org.publicwhip/lords/2009-07-09a.790.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-07-09a.xml"
"Cultural Objects (Protection From Seizure) Bill - Third Reading","uk.org.publicwhip/lords/2022-04-25a.20.2","uk.org.publicwhip/lords/2022-04-25a.22.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-25a.xml"
"Motor Vehicles (Compulsory Insurance) Bill - Third Reading","uk.org.publicwhip/lords/2022-04-25a.22.3","uk.org.publicwhip/lords/2022-04-25a.22.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-25a.xml"
"Elections Bill - Third Reading","uk.org.publicwhip/lords/2022-04-25a.102.4","uk.org.publicwhip/lords/2022-04-25a.106.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-25a.xml"
"High Hedges Bill [Hl]","uk.org.publicwhip/lords/2003-03-07a.1033.3","uk.org.publicwhip/lords/2003-03-07a.1033.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-03-07a.xml"
"Enterprise Bill [Hl]","uk.org.publicwhip/lords/2015-12-15a.1984.1","uk.org.publicwhip/lords/2015-12-15a.1988.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-12-15a.xml"
"Policing And Crime Bill - Third Reading","uk.org.publicwhip/lords/2016-12-19b.1483.6","uk.org.publicwhip/lords/2016-12-19b.1484.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-12-19b.xml"
"Prisoners (Disclosure Of Information About Victims) Bill - Third Reading","uk.org.publicwhip/lords/2020-09-08b.670.8","uk.org.publicwhip/lords/2020-09-08b.672.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-09-08b.xml"
"Leasehold Reform (Ground Rent) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-09-14a.1277.5","uk.org.publicwhip/lords/2021-09-14a.1279.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-09-14a.xml"
"Glue Traps (Offences) Bill - Third Reading","uk.org.publicwhip/lords/2022-04-26b.131.2","uk.org.publicwhip/lords/2022-04-26b.132.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-26b.xml"
"Approved Premises (Substance Testing) Bill - Third Reading","uk.org.publicwhip/lords/2022-04-26b.132.3","uk.org.publicwhip/lords/2022-04-26b.133.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-26b.xml"
"Marriage And Civil Partnership (Minimum Age) Bill - Third Reading","uk.org.publicwhip/lords/2022-04-26b.133.2","uk.org.publicwhip/lords/2022-04-26b.134.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-26b.xml"
"Taxis And Private Hire Vehicles (Disabled Persons) Bill - Third Reading","uk.org.publicwhip/lords/2022-04-26b.134.2","uk.org.publicwhip/lords/2022-04-26b.135.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-26b.xml"
"Intellectual Property (Unjustified Threats) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2016-12-13b.1132.9","uk.org.publicwhip/lords/2016-12-13b.1134.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-12-13b.xml"
"Regulatory Reform Bill [H.l.]","uk.org.publicwhip/lords/2001-02-19a.539.0","uk.org.publicwhip/lords/2001-02-19a.540.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-02-19a.xml"
"Non-Domestic Rating (Nursery Grounds) Bill - Third Reading","uk.org.publicwhip/lords/2018-10-24a.867.1","uk.org.publicwhip/lords/2018-10-24a.867.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-10-24a.xml"
"Local Transport Bill [Hl]","uk.org.publicwhip/lords/2008-01-30b.640.0","uk.org.publicwhip/lords/2008-01-30b.640.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-01-30b.xml"
"Trade Bill - Third Reading","uk.org.publicwhip/lords/2021-01-18b.1007.1","uk.org.publicwhip/lords/2021-01-18b.1013.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-18b.xml"
"Public Bodies Bill [Hl]","uk.org.publicwhip/lords/2011-05-09a.706.0","uk.org.publicwhip/lords/2011-05-09a.709.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-05-09a.xml"
"Political Parties, Elections And Referendums Bill","uk.org.publicwhip/lords/2000-11-27a.1186.0","uk.org.publicwhip/lords/2000-11-27a.1188.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-11-27a.xml"
"Crime And Courts Bill [Hl]","uk.org.publicwhip/lords/2012-12-18a.1526.0","uk.org.publicwhip/lords/2012-12-18a.1527.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-12-18a.xml"
"House Of Commons Commission Bill","uk.org.publicwhip/lords/2015-03-23a.1232.5","uk.org.publicwhip/lords/2015-03-23a.1232.7","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-03-23a.xml"
"Energy Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-04-24a.975.1","uk.org.publicwhip/lords/2023-04-24a.978.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-04-24a.xml"
"Organ Donation (Deemed Consent) Bill - Third Reading","uk.org.publicwhip/lords/2019-02-26b.101.2","uk.org.publicwhip/lords/2019-02-26b.101.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-02-26b.xml"
"European Union (Withdrawal) (No. 5) Bill - Third Reading","uk.org.publicwhip/lords/2019-04-08c.439.8","uk.org.publicwhip/lords/2019-04-08c.442.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-04-08c.xml"
"Education (Assemblies) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-12-08a.1904.6","uk.org.publicwhip/lords/2021-12-08a.1905.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-12-08a.xml"
"Rating (Coronavirus) And Directors Disqualification (Dissolved Companies) Bill - Third Reading","uk.org.publicwhip/lords/2021-12-08a.1905.2","uk.org.publicwhip/lords/2021-12-08a.1908.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-12-08a.xml"
"Supply And Appropriation (Main Estimates) Bill","uk.org.publicwhip/lords/2012-07-16a.12.3","uk.org.publicwhip/lords/2012-07-16a.12.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-07-16a.xml"
"Public Service Pensions And Judicial Offices Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-12-06d.1652.5","uk.org.publicwhip/lords/2021-12-06d.1655.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-12-06d.xml"
"Representation Of The People Bill","uk.org.publicwhip/lords/2000-03-06a.840.4","uk.org.publicwhip/lords/2000-03-06a.840.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-03-06a.xml"
"Flood And Water Management Bill","uk.org.publicwhip/lords/2010-04-08a.1664.4","uk.org.publicwhip/lords/2010-04-08a.1667.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-04-08a.xml"
"Energy Prices Bill - Third Reading","uk.org.publicwhip/lords/2022-10-25a.1394.1","uk.org.publicwhip/lords/2022-10-25a.1396.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-10-25a.xml"
"Voyeurism (Offences) (No. 2) Bill - Third Reading","uk.org.publicwhip/lords/2019-01-15b.132.3","uk.org.publicwhip/lords/2019-01-15b.132.7","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-01-15b.xml"
"Tenant Fees Bill - Third Reading","uk.org.publicwhip/lords/2019-01-15b.134.7","uk.org.publicwhip/lords/2019-01-15b.136.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-01-15b.xml"
"Counter-Terrorism And Border Security Bill - Third Reading","uk.org.publicwhip/lords/2019-01-15b.143.3","uk.org.publicwhip/lords/2019-01-15b.146.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-01-15b.xml"
"Harbours Bill [Hl]","uk.org.publicwhip/lords/2003-05-16a.486.2","uk.org.publicwhip/lords/2003-05-16a.486.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-05-16a.xml"
"Trade Bill - Third Reading","uk.org.publicwhip/lords/2019-03-20b.1461.1","uk.org.publicwhip/lords/2019-03-20b.1464.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-03-20b.xml"
"High Speed Rail (West Midlands-Crewe) Bill - Third Reading","uk.org.publicwhip/lords/2020-12-14a.1496.3","uk.org.publicwhip/lords/2020-12-14a.1497.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-12-14a.xml"
"Green Energy (Definition And Promotion) Bill","uk.org.publicwhip/lords/2009-11-05a.380.3","uk.org.publicwhip/lords/2009-11-05a.380.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-11-05a.xml"
"European Union Bill — Third Reading","uk.org.publicwhip/lords/2011-06-23a.1400.0","uk.org.publicwhip/lords/2011-06-23a.1403.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-06-23a.xml"
"Inheritance And Trustees’ Powers Bill [Hl] — Third Reading","uk.org.publicwhip/lords/2014-02-10a.414.1","uk.org.publicwhip/lords/2014-02-10a.414.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-02-10a.xml"
"Police (Northern Ireland) Bill [Hl]","uk.org.publicwhip/lords/2006-05-12b.1183.3","uk.org.publicwhip/lords/2006-05-12b.1183.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-12b.xml"
"Office Of Communications Bill [Hl]","uk.org.publicwhip/lords/2001-12-13a.1495.0","uk.org.publicwhip/lords/2001-12-13a.1495.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-12-13a.xml"
"Education (Careers Guidance In Schools) Bill - Third Reading","uk.org.publicwhip/lords/2022-03-25c.1197.2","uk.org.publicwhip/lords/2022-03-25c.1198.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-25c.xml"
"Taxis And Private Hire Vehicles (Safeguarding And Road Safety) Bill - Third Reading","uk.org.publicwhip/lords/2022-03-25c.1198.3","uk.org.publicwhip/lords/2022-03-25c.1199.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-25c.xml"
"Coroners (Determination Of Suicide) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-03-25c.1254.2","uk.org.publicwhip/lords/2022-03-25c.1255.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-25c.xml"
"Northern Ireland Bill","uk.org.publicwhip/lords/2009-03-11a.1260.3","uk.org.publicwhip/lords/2009-03-11a.1260.7","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-03-11a.xml"
"Legislative And Regulatory Reform Bill","uk.org.publicwhip/lords/2006-11-02c.397.108","uk.org.publicwhip/lords/2006-11-02c.397.112","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-11-02c.xml"
"Crossrail Bill","uk.org.publicwhip/lords/2008-07-22a.1653.3","uk.org.publicwhip/lords/2008-07-22a.1655.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-07-22a.xml"
"Criminal Justice And Courts Bill","uk.org.publicwhip/lords/2014-11-10a.21.0","uk.org.publicwhip/lords/2014-11-10a.27.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-11-10a.xml"
"House Of Lords (Amendment) Bill [Hl]","uk.org.publicwhip/lords/2012-03-01a.1546.1","uk.org.publicwhip/lords/2012-03-01a.1548.7","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-03-01a.xml"
"Counter-Terrorism And Sentencing Bill - Third Reading","uk.org.publicwhip/lords/2021-03-11b.1818.6","uk.org.publicwhip/lords/2021-03-11b.1822.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-03-11b.xml"
"Cheques (Scotland) Bill [H.l.]","uk.org.publicwhip/lords/2000-07-19a.1016.4","uk.org.publicwhip/lords/2000-07-19a.1016.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-19a.xml"
"Street Works Bill [H.l.]","uk.org.publicwhip/lords/2000-07-19a.1016.8","uk.org.publicwhip/lords/2000-07-19a.1017.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-19a.xml"
"Regulation Of Investigatory Powers Bill","uk.org.publicwhip/lords/2000-07-19a.1079.2","uk.org.publicwhip/lords/2000-07-19a.1081.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-19a.xml"
"High Speed Rail (London–West Midlands) Bill - Third Reading","uk.org.publicwhip/lords/2017-01-31b.1095.6","uk.org.publicwhip/lords/2017-01-31b.1110.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-01-31b.xml"
"European Union (Withdrawal) (No. 6) Bill - Third Reading","uk.org.publicwhip/lords/2019-09-06a.1275.2","uk.org.publicwhip/lords/2019-09-06a.1278.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-09-06a.xml"
"Criminal Evidence (Witness Anonymity) Bill","uk.org.publicwhip/lords/2008-07-15a.1157.6","uk.org.publicwhip/lords/2008-07-15a.1158.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-07-15a.xml"
"Armed Forces Bill - Third Reading","uk.org.publicwhip/lords/2016-05-05b.1530.2","uk.org.publicwhip/lords/2016-05-05b.1532.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-05-05b.xml"
"Children (Leaving Care) Bill [H.l.]","uk.org.publicwhip/lords/2000-05-22a.487.5","uk.org.publicwhip/lords/2000-05-22a.488.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-05-22a.xml"
"Bournemouth Borough Council Bill [Hl]","uk.org.publicwhip/lords/2007-11-29b.1387.3","uk.org.publicwhip/lords/2007-11-29b.1401.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-11-29b.xml"
"Civil Partnerships, Marriages And Deaths (Registration Etc) Bill - Third Reading","uk.org.publicwhip/lords/2019-03-07a.726.5","uk.org.publicwhip/lords/2019-03-07a.727.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-03-07a.xml"
"Terrorism Bill","uk.org.publicwhip/lords/2006-02-01c.242.0","uk.org.publicwhip/lords/2006-02-01c.243.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-02-01c.xml"
"Parliament (Participation Of Members Of The House Of Commons) Bill [Hl]","uk.org.publicwhip/lords/2006-04-18b.979.4","uk.org.publicwhip/lords/2006-04-18b.979.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-04-18b.xml"
"Transport For London (Supplemental Toll Provisions) Bill [Hl]","uk.org.publicwhip/lords/2011-06-29a.1818.3","uk.org.publicwhip/lords/2011-06-29a.1822.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-06-29a.xml"
"Protection Of Freedoms Bill","uk.org.publicwhip/lords/2012-03-12a.65.0","uk.org.publicwhip/lords/2012-03-12a.69.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-03-12a.xml"
"Water Bill [Hl]","uk.org.publicwhip/lords/2003-07-09a.427.3","uk.org.publicwhip/lords/2003-07-09a.428.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-07-09a.xml"
"Building Safety Bill - Third Reading","uk.org.publicwhip/lords/2022-04-04d.1844.4","uk.org.publicwhip/lords/2022-04-04d.1851.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-04d.xml"
"Commercial Rent (Coronavirus) Bill - Third Reading","uk.org.publicwhip/lords/2022-03-15a.173.4","uk.org.publicwhip/lords/2022-03-15a.176.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-15a.xml"
"Mental Capacity (Amendment) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-12-11b.1250.1","uk.org.publicwhip/lords/2018-12-11b.1253.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-12-11b.xml"
"Historical Institutional Abuse (Northern Ireland) Bill [Hl] - Committee (And Remaining Stages)","uk.org.publicwhip/lords/2019-10-31a.1079.5","uk.org.publicwhip/lords/2019-10-31a.1082.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-10-31a.xml"
"Railways Bill","uk.org.publicwhip/lords/2005-04-06b.752.0","uk.org.publicwhip/lords/2005-04-06b.752.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-04-06b.xml"
"Serious Organised Crime And Police Bill","uk.org.publicwhip/lords/2005-04-06b.784.7","uk.org.publicwhip/lords/2005-04-06b.785.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-04-06b.xml"
"Clean Neighbourhoods And Environment Bill","uk.org.publicwhip/lords/2005-04-06b.796.2","uk.org.publicwhip/lords/2005-04-06b.797.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-04-06b.xml"
"Drugs Bill","uk.org.publicwhip/lords/2005-04-06b.821.0","uk.org.publicwhip/lords/2005-04-06b.822.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-04-06b.xml"
"Gambling Bill","uk.org.publicwhip/lords/2005-04-06b.874.2","uk.org.publicwhip/lords/2005-04-06b.874.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-04-06b.xml"
"Civil Partnership Bill","uk.org.publicwhip/lords/2004-07-01a.429.2","uk.org.publicwhip/lords/2004-07-01a.430.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-01a.xml"
"Harbours Bill [Hl]","uk.org.publicwhip/lords/2004-03-24a.785.8","uk.org.publicwhip/lords/2004-03-24a.786.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-03-24a.xml"
"Financial Services (Banking Reform) Bill — Third Reading","uk.org.publicwhip/lords/2013-12-09a.707.1","uk.org.publicwhip/lords/2013-12-09a.712.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-12-09a.xml"
"Local Government (Religious Etc. Observances) Bill — Third Reading","uk.org.publicwhip/lords/2015-03-25a.1424.4","uk.org.publicwhip/lords/2015-03-25a.1425.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-03-25a.xml"
"Policing And Crime Bill","uk.org.publicwhip/lords/2009-11-11a.821.1","uk.org.publicwhip/lords/2009-11-11a.823.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-11-11a.xml"
"Armed Forces Bill","uk.org.publicwhip/lords/2006-11-06c.587.145","uk.org.publicwhip/lords/2006-11-06c.587.153","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-11-06c.xml"
"Northern Ireland Bill","uk.org.publicwhip/lords/2000-02-10a.792.0","uk.org.publicwhip/lords/2000-02-10a.798.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-02-10a.xml"
"Telecommunications Infrastructure (Leasehold Property) Bill - Third Reading","uk.org.publicwhip/lords/2021-01-28a.1786.1","uk.org.publicwhip/lords/2021-01-28a.1789.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-28a.xml"
"Air Traffic Management And Unmanned Aircraft Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-01-28a.1789.1","uk.org.publicwhip/lords/2021-01-28a.1792.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-28a.xml"
"Natural Environment And Rural Communities Bill","uk.org.publicwhip/lords/2006-03-27b.574.2","uk.org.publicwhip/lords/2006-03-27b.575.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-27b.xml"
"Compensation Bill [Hl]","uk.org.publicwhip/lords/2006-03-27b.575.3","uk.org.publicwhip/lords/2006-03-27b.577.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-27b.xml"
