heading,first,last,file,leg_title,notes,already_checked
Second Reading,uk.org.publicwhip/lords/2012-11-30a.391.3,uk.org.publicwhip/lords/2012-11-30a.408.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-11-30a.xml,Disabled Persons' Parking Badges Act 2013,NA,NA
Second Reading,uk.org.publicwhip/lords/2012-11-30a.408.3,uk.org.publicwhip/lords/2012-11-30a.429.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-11-30a.xml,Scrap Metal Dealers Act 2013,NA,NA
Crime And Courts Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2012-05-28a.973.3,uk.org.publicwhip/lords/2012-05-28a.1063.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-05-28a.xml,Crime and Courts Act 2013,NA,NA
Hbos Group Reorganisation Bill,uk.org.publicwhip/lords/2006-05-03b.464.5,uk.org.publicwhip/lords/2006-05-03b.464.6,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-03b.xml,NA,,1
Wireless Telegraphy Bill [Hl],uk.org.publicwhip/lords/2006-05-03b.466.4,uk.org.publicwhip/lords/2006-05-03b.467.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-03b.xml,Wireless Telegraphy Act 2006,,1
Second Reading,uk.org.publicwhip/lords/2010-03-08a.73.3,uk.org.publicwhip/lords/2010-03-08a.128.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-08a.xml,"Children, Schools and Families Act 2010",NA,NA
Status Of Workers Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2021-09-10a.1051.1,uk.org.publicwhip/lords/2021-09-10a.1074.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-09-10a.xml,NA,,1
Education (Assemblies) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2021-09-10a.1075.1,uk.org.publicwhip/lords/2021-09-10a.1096.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-09-10a.xml,NA,,1
Refugees (Family Reunion) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2021-09-10a.1096.1,uk.org.publicwhip/lords/2021-09-10a.1121.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-09-10a.xml,NA,,1
Disabled Persons (Independent Living) Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2009-03-13a.1383.3,uk.org.publicwhip/lords/2009-03-13a.1413.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-03-13a.xml,NA,NA,NA
Cohabitation Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2009-03-13a.1413.1,uk.org.publicwhip/lords/2009-03-13a.1443.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-03-13a.xml,NA,NA,NA
City Of Westminster Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2009-03-13a.1443.1,uk.org.publicwhip/lords/2009-03-13a.1455.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-03-13a.xml,NA,NA,NA
Education Bill,uk.org.publicwhip/lords/2002-03-11a.535.4,uk.org.publicwhip/lords/2002-03-11a.648.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-03-11a.xml,Education Act 2002,,1
Health Bill,uk.org.publicwhip/lords/2006-03-01c.275.1,uk.org.publicwhip/lords/2006-03-01c.338.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-01c.xml,Health Act 2006,,1
Education (Guidance About Costs Of School Uniforms) Bill - Second Reading,uk.org.publicwhip/lords/2021-03-19a.537.5,uk.org.publicwhip/lords/2021-03-19a.560.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-03-19a.xml,Education (Guidance about Costs of School Uniforms) Act 2021,,1
British Library Board (Power To Borrow) Bill - Second Reading,uk.org.publicwhip/lords/2021-03-19a.560.3,uk.org.publicwhip/lords/2021-03-19a.577.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-03-19a.xml,British Library Board (Power to Borrow) Act 2021,,1
Education And Training (Welfare Of Children) Bill - Second Reading,uk.org.publicwhip/lords/2021-03-19a.577.3,uk.org.publicwhip/lords/2021-03-19a.587.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-03-19a.xml,Education and Training (Welfare of Children) Act 2021,,1
Forensic Science Regulator Bill - Second Reading,uk.org.publicwhip/lords/2021-03-19a.587.4,uk.org.publicwhip/lords/2021-03-19a.600.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-03-19a.xml,Forensic Science Regulator Act 2021,,1
Compensation Bill [Hl],uk.org.publicwhip/lords/2005-11-28c.81.5,uk.org.publicwhip/lords/2005-11-28c.100.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-28c.xml,Compensation Act 2006,,1
House Of Commons Members’ Fund Bill - Second Reading,uk.org.publicwhip/lords/2016-04-22a.867.5,uk.org.publicwhip/lords/2016-04-22a.872.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-04-22a.xml,House of Commons Members' Fund Act 2016,,1
Race Relations (Religious Discrimination) Bill [H.l.],uk.org.publicwhip/lords/2000-06-07a.1189.1,uk.org.publicwhip/lords/2000-06-07a.1209.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-06-07a.xml,NA,,1
National Insurance Contributions Bill — Second Reading,uk.org.publicwhip/lords/2014-01-07a.1490.1,uk.org.publicwhip/lords/2014-01-07a.1498.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-01-07a.xml,National Insurance Contributions Act 2014,NA,NA
Defamation Bill — Second Reading,uk.org.publicwhip/lords/2012-10-09a.932.5,uk.org.publicwhip/lords/2012-10-09a.986.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-10-09a.xml,Defamation Act 2013,NA,NA
Domestic Premises (Energy Performance) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2020-02-07b.1981.1,uk.org.publicwhip/lords/2020-02-07b.2003.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-02-07b.xml,NA,,1
Extension Of Franchise (House Of Lords) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2020-02-07b.2003.1,uk.org.publicwhip/lords/2020-02-07b.2025.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-02-07b.xml,NA,,1
Access To Palliative Care And Treatment Of Children Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2020-02-07b.2025.1,uk.org.publicwhip/lords/2020-02-07b.2062.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-02-07b.xml,NA,,1
Health And Social Care (Safety And Quality) Bill — Second Reading,uk.org.publicwhip/lords/2015-02-06a.941.4,uk.org.publicwhip/lords/2015-02-06a.970.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-02-06a.xml,Health and Social Care (Safety and Quality) Act 2015,NA,NA
Self-Build And Custom Housebuilding Bill — Second Reading,uk.org.publicwhip/lords/2015-02-06a.970.1,uk.org.publicwhip/lords/2015-02-06a.978.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-02-06a.xml,Self-build and Custom Housebuilding Act 2015,NA,NA
Digital Economy Bill - Second Reading,uk.org.publicwhip/lords/2016-12-13b.1142.1,uk.org.publicwhip/lords/2016-12-13b.1231.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-12-13b.xml,Digital Economy Act 2017,NA,NA
Secure Tenancies (Victims Of Domestic Abuse) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2018-01-09a.134.3,uk.org.publicwhip/lords/2018-01-09a.161.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-01-09a.xml,Secure Tenancies (Victims of Domestic Abuse) Act 2018,,1
Laser Misuse (Vehicles) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2018-01-09a.161.2,uk.org.publicwhip/lords/2018-01-09a.177.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-01-09a.xml,Laser Misuse (Vehicles) Act 2018,,1
Police (Detention And Bail) Bill — Second Reading,uk.org.publicwhip/lords/2011-07-12a.607.1,uk.org.publicwhip/lords/2011-07-12a.631.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-07-12a.xml,Police (Detention and Bail) Act 2011,NA,NA
European Union (Notification Of Withdrawal) Bill - Second Reading (1st Day),uk.org.publicwhip/lords/2017-02-20c.12.3,uk.org.publicwhip/lords/2017-02-20c.147.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-02-20c.xml,European Union (Notification of Withdrawal) Act 2017,,1
Employment Relations (Flexible Working) Bill - Second Reading,uk.org.publicwhip/lords/2023-05-19b.527.2,uk.org.publicwhip/lords/2023-05-19b.544.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml,Employment Relations (Flexible Working) Act 2023,,1
Equipment Theft (Prevention) Bill - Second Reading,uk.org.publicwhip/lords/2023-05-19b.544.1,uk.org.publicwhip/lords/2023-05-19b.559.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml,Equipment Theft (Prevention) Act 2023,,1
Child Support (Enforcement) Bill - Second Reading,uk.org.publicwhip/lords/2023-05-19b.559.1,uk.org.publicwhip/lords/2023-05-19b.575.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml,Child Support (Enforcement) Act 2023,,1
Water Safety (Curriculum) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2023-05-19b.575.1,uk.org.publicwhip/lords/2023-05-19b.588.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml,NA,,1
Criminal Justice (Mode Of Trial) (No. 2) Bill,uk.org.publicwhip/lords/2000-09-28a.966.1,uk.org.publicwhip/lords/2000-09-28a.1035.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-09-28a.xml,NA,,1
Non-Domestic Rating (Lists) Bill - Second Reading,uk.org.publicwhip/lords/2019-09-30a.1567.11,uk.org.publicwhip/lords/2019-09-30a.1580.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-09-30a.xml,NA,NA,NA
Fishery Limits (United Kingdom) Bill [Hl],uk.org.publicwhip/lords/2003-12-17a.1256.4,uk.org.publicwhip/lords/2003-12-17a.1275.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-12-17a.xml,NA,,1
Counsellors Of State Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2022-11-21b.1182.3,uk.org.publicwhip/lords/2022-11-21b.1195.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-21b.xml,Counsellors of State Act 2022,,1
Genetic Technology (Precision Breeding) Bill - Second Reading,uk.org.publicwhip/lords/2022-11-21b.1195.3,uk.org.publicwhip/lords/2022-11-21b.1249.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-21b.xml,Genetic Technology (Precision Breeding) Act 2023,,1
Corruption Bill [Hl],uk.org.publicwhip/lords/2007-03-16b.933.1,uk.org.publicwhip/lords/2007-03-16b.933.23,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-03-16b.xml,NA,,1
Interception Of Communications (Admissibility Of Evidence) Bill [Hl],uk.org.publicwhip/lords/2007-03-16b.933.24,uk.org.publicwhip/lords/2007-03-16b.933.46,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-03-16b.xml,NA,,1
Piped Music Etc. (Hospitals) Bill [Hl],uk.org.publicwhip/lords/2007-03-16b.933.47,uk.org.publicwhip/lords/2007-03-16b.933.52,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-03-16b.xml,NA,,1
Christmas Day (Trading) Bill [Hl],uk.org.publicwhip/lords/2001-11-07a.282.3,uk.org.publicwhip/lords/2001-11-07a.294.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-11-07a.xml,NA,,1
Fraud Bill [Hl],uk.org.publicwhip/lords/2005-06-22b.1656.2,uk.org.publicwhip/lords/2005-06-22b.1677.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-06-22b.xml,Fraud Act 2006,,1
Industry And Exports (Financial Support) Bill — Second Reading,uk.org.publicwhip/lords/2009-05-19a.1366.4,uk.org.publicwhip/lords/2009-05-19a.1374.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-05-19a.xml,Industry and Exports (Financial Support) Act 2009,NA,NA
Elderly Social Care (Insurance) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2021-07-16a.2085.5,uk.org.publicwhip/lords/2021-07-16a.2107.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-07-16a.xml,NA,,1
Organ Tourism And Cadavers On Display Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2021-07-16a.2107.2,uk.org.publicwhip/lords/2021-07-16a.2125.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-07-16a.xml,NA,,1
Education (Environment And Sustainable Citizenship) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2021-07-16a.2125.1,uk.org.publicwhip/lords/2021-07-16a.2153.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-07-16a.xml,NA,,1
United Kingdom Internal Market Bill - Second Reading (2nd Day),uk.org.publicwhip/lords/2020-10-20a.1420.4,uk.org.publicwhip/lords/2020-10-20a.1436.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-10-20a.xml,United Kingdom Internal Market Act 2020,,1
Sustainable Communities Bill,uk.org.publicwhip/lords/2007-07-12c.1564.1,uk.org.publicwhip/lords/2007-07-12c.1581.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-07-12c.xml,Sustainable Communities Act 2007,,1
"Companies (Audit, Investigations And Community Enterprise) Bill [Hl]",uk.org.publicwhip/lords/2004-01-08a.258.1,uk.org.publicwhip/lords/2004-01-08a.300.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-01-08a.xml,"Companies (Audit, Investigations and Community Enterprise) Act 2004",,1
European Parliamentary And Local Elections (Pilots) Bill,uk.org.publicwhip/lords/2004-01-08a.300.1,uk.org.publicwhip/lords/2004-01-08a.317.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-01-08a.xml,European Parliamentary and Local Elections (Pilots) Act 2004,,1
Second Reading,uk.org.publicwhip/lords/2010-01-15a.703.3,uk.org.publicwhip/lords/2010-01-15a.717.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-01-15a.xml,NA,NA,NA
Second Reading,uk.org.publicwhip/lords/2010-01-15a.717.3,uk.org.publicwhip/lords/2010-01-15a.737.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-01-15a.xml,NA,NA,NA
Second Reading,uk.org.publicwhip/lords/2010-01-15a.737.3,uk.org.publicwhip/lords/2010-01-15a.748.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-01-15a.xml,NA,NA,NA
Second Reading,uk.org.publicwhip/lords/2010-01-15a.748.3,uk.org.publicwhip/lords/2010-01-15a.764.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-01-15a.xml,Live Music Act 2012,NA,NA
Planning And Energy Bill,uk.org.publicwhip/lords/2008-06-13a.761.1,uk.org.publicwhip/lords/2008-06-13a.773.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-06-13a.xml,Planning and Energy Act 2008,,1
Special Educational Needs (Information) Bill,uk.org.publicwhip/lords/2008-06-13a.773.1,uk.org.publicwhip/lords/2008-06-13a.792.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-06-13a.xml,Special Educational Needs (Information) Act 2008,,1
Housing And Regeneration Bill,uk.org.publicwhip/lords/2008-04-28a.40.3,uk.org.publicwhip/lords/2008-04-28a.120.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-04-28a.xml,Housing and Regeneration Act 2008,,1
Ministerial And Other Maternity Allowances Bill - Second Reading,uk.org.publicwhip/lords/2021-02-22c.635.3,uk.org.publicwhip/lords/2021-02-22c.639.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-02-22c.xml,Ministerial and other Maternity Allowances Act 2021,,1
Second Reading,uk.org.publicwhip/lords/2009-07-08a.673.7,uk.org.publicwhip/lords/2009-07-08a.756.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-07-08a.xml,Parliamentary Standards Act 2009,NA,NA
Local Transport Bill [Hl],uk.org.publicwhip/lords/2007-11-20b.743.1,uk.org.publicwhip/lords/2007-11-20b.759.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-11-20b.xml,Local Transport Act 2008,,1
Hertfordshire County Council (Filming On Highways) Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2013-02-12a.566.6,uk.org.publicwhip/lords/2013-02-12a.566.7,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-02-12a.xml,NA,NA,NA
Electoral Fraud (Northern Ireland) Bill,uk.org.publicwhip/lords/2002-01-08a.447.1,uk.org.publicwhip/lords/2002-01-08a.468.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-01-08a.xml,Electoral Fraud (Northern Ireland) Act 2002,,1
Export Control Bill,uk.org.publicwhip/lords/2002-01-08a.468.1,uk.org.publicwhip/lords/2002-01-08a.518.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-01-08a.xml,Export Control Act 2002,,1
Police Reform And Social Responsibility Bill — Second Reading,uk.org.publicwhip/lords/2011-04-27a.128.1,uk.org.publicwhip/lords/2011-04-27a.228.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-04-27a.xml,Police Reform and Social Responsibility Act 2011,NA,NA
Second Reading,uk.org.publicwhip/lords/2010-06-30a.1798.6,uk.org.publicwhip/lords/2010-06-30a.1834.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-06-30a.xml,Local Government Act 2010,NA,NA
Pensions Bill — Second Reading,uk.org.publicwhip/lords/2013-12-03a.139.4,uk.org.publicwhip/lords/2013-12-03a.194.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-12-03a.xml,Pensions Act 2014,NA,NA
Northern Ireland (Miscellaneous Provisions) Bill — Second Reading,uk.org.publicwhip/lords/2013-12-03a.194.1,uk.org.publicwhip/lords/2013-12-03a.225.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-12-03a.xml,Northern Ireland (Miscellaneous Provisions) Act 2014,NA,NA
Education And Inspections Bill,uk.org.publicwhip/lords/2006-06-21d.755.6,uk.org.publicwhip/lords/2006-06-21d.870.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-06-21d.xml,Education and Inspections Act 2006,,1
Finance Bill - Second Reading (And Remaining Stages),uk.org.publicwhip/lords/2022-12-20b.1099.1,uk.org.publicwhip/lords/2022-12-20b.1117.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-12-20b.xml,Finance Act 2023,,1
Statutory Nuisances (Hedgerows In Residential Areas) Bill [H.l.],uk.org.publicwhip/lords/2000-01-11a.600.1,uk.org.publicwhip/lords/2000-01-11a.618.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-01-11a.xml,NA,,1
Sex Discrimination (Amendment) (No. 2) Bill [Hl],uk.org.publicwhip/lords/2002-03-13a.914.3,uk.org.publicwhip/lords/2002-03-13a.936.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-03-13a.xml,NA,,1
House Of Lords (Hereditary Peers) (Abolition Of By-Elections) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2020-03-13a.1199.1,uk.org.publicwhip/lords/2020-03-13a.1236.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-03-13a.xml,NA,,1
Wellbeing Of Future Generations Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2020-03-13a.1237.4,uk.org.publicwhip/lords/2020-03-13a.1266.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-03-13a.xml,NA,,1
Higher Education And Research Bill - Second Reading,uk.org.publicwhip/lords/2016-12-06b.610.3,uk.org.publicwhip/lords/2016-12-06b.718.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-12-06b.xml,Higher Education and Research Act 2017,NA,NA
Interception Of Communications (Admissibility Of Evidence) Bill [Hl],uk.org.publicwhip/lords/2005-11-18b.1301.3,uk.org.publicwhip/lords/2005-11-18b.1336.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-18b.xml,NA,,1
Estate Agents (Independent Redress Scheme) Bill [Hl],uk.org.publicwhip/lords/2005-11-18b.1344.1,uk.org.publicwhip/lords/2005-11-18b.1354.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-18b.xml,NA,,1
Data Protection Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2017-10-10b.123.4,uk.org.publicwhip/lords/2017-10-10b.159.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-10-10b.xml,Data Protection Act 2018,,1
Second Reading,uk.org.publicwhip/lords/2010-10-18a.713.3,uk.org.publicwhip/lords/2010-10-18a.743.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-10-18a.xml,Identity Documents Act 2010,NA,NA
Commercial Rent (Coronavirus) Bill - Second Reading,uk.org.publicwhip/lords/2022-02-01a.776.4,uk.org.publicwhip/lords/2022-02-01a.777.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-02-01a.xml,Commercial Rent (Coronavirus) Act 2022,,1
Pension Schemes Bill — Second Reading,uk.org.publicwhip/lords/2014-12-16a.122.5,uk.org.publicwhip/lords/2014-12-16a.164.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-12-16a.xml,Pension Schemes Act 2015,,1
