heading,first,last,file,leg_title,notes,already_checked
Canterbury City Council Bill — Second Reading,uk.org.publicwhip/lords/2010-10-19a.795.6,uk.org.publicwhip/lords/2010-10-19a.796.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-10-19a.xml,NA,NA,NA
Nottingham City Council Bill — Second Reading,uk.org.publicwhip/lords/2010-10-19a.796.1,uk.org.publicwhip/lords/2010-10-19a.796.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-10-19a.xml,NA,NA,NA
Access To Palliative Care Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2019-06-14a.613.1,uk.org.publicwhip/lords/2019-06-14a.642.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-06-14a.xml,NA,,1
Criminal Evidence (Witness Anonymity) Bill,uk.org.publicwhip/lords/2008-07-10a.870.5,uk.org.publicwhip/lords/2008-07-10a.900.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-07-10a.xml,Criminal Evidence (Witness Anonymity) Act 2008,,1
Rating (Property In Common Occupation) And Council Tax (Empty Dwellings) Bill - Second Reading,uk.org.publicwhip/lords/2018-06-04a.1156.7,uk.org.publicwhip/lords/2018-06-04a.1178.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-06-04a.xml,Rating (Property in Common Occupation) and Council Tax (Empty Dwellings) Act 2018,,1
Northern Ireland Budget (No. 2) Bill - Second Reading (And Remaining Stages),uk.org.publicwhip/lords/2023-09-14b.1132.1,uk.org.publicwhip/lords/2023-09-14b.1159.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-14b.xml,Northern Ireland Budget (No. 2) Act 2023,,1
Sentencing Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2020-06-25a.433.3,uk.org.publicwhip/lords/2020-06-25a.458.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-06-25a.xml,Sentencing Act 2020,,1
Second Reading (And Remaining Stages),uk.org.publicwhip/lords/2011-10-03a.960.4,uk.org.publicwhip/lords/2011-10-03a.973.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-10-03a.xml,Sovereign Grant Act 2011,NA,NA
Victims Of Overseas Terrorism Bill [Hl],uk.org.publicwhip/lords/2007-04-20b.447.1,uk.org.publicwhip/lords/2007-04-20b.462.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-04-20b.xml,NA,,1
Alcohol Labelling Bill [Hl],uk.org.publicwhip/lords/2007-04-20b.462.1,uk.org.publicwhip/lords/2007-04-20b.481.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-04-20b.xml,NA,,1
