heading,first,last,file,leg_title
Armed Forces Bill - Third Reading,uk.org.publicwhip/lords/2021-11-29b.1135.6,uk.org.publicwhip/lords/2021-11-29b.1138.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-11-29b.xml,Armed Forces Act 2021
Armed Forces Discipline Bill [H.l.],uk.org.publicwhip/lords/2000-01-24a.1340.0,uk.org.publicwhip/lords/2000-01-24a.1344.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-01-24a.xml,Armed Forces Discipline Act 2000 (repealed)
"Asylum And Immigration (Treatment Of Claimants, Etc.) Bill",uk.org.publicwhip/lords/2004-07-06a.786.5,uk.org.publicwhip/lords/2004-07-06a.788.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-06a.xml,"Asylum and Immigration (Treatment of Claimants, etc.) Act 2004"
Ballot Secrecy Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2022-11-30a.1783.8,uk.org.publicwhip/lords/2022-11-30a.1784.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-30a.xml,Ballot Secrecy Act 2023
Bank Of England And Financial Services Bill [Hl] — Third Reading,uk.org.publicwhip/lords/2016-01-19a.650.1,uk.org.publicwhip/lords/2016-01-19a.653.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-01-19a.xml,Bank of England and Financial Services Act 2016
Beverley Freemen Bill [Hl] — Third Reading,uk.org.publicwhip/lords/2009-11-25a.367.4,uk.org.publicwhip/lords/2009-11-25a.367.6,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-11-25a.xml,NA
Birmingham Commonwealth Games Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2019-10-23b.612.2,uk.org.publicwhip/lords/2019-10-23b.613.4,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-10-23b.xml,Birmingham Commonwealth Games Act 2020
Bishop’s Stortford Cemetery Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2023-09-14b.1114.3,uk.org.publicwhip/lords/2023-09-14b.1115.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-14b.xml,NA
"Borders, Citizenship And Immigration Bill [Hl]",uk.org.publicwhip/lords/2009-04-22a.1538.1,uk.org.publicwhip/lords/2009-04-22a.1543.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-04-22a.xml,"Borders, Citizenship and Immigration Act 2009"
Botulinum Toxin And Cosmetic Fillers (Children) Bill - Third Reading,uk.org.publicwhip/lords/2021-04-28b.2248.6,uk.org.publicwhip/lords/2021-04-28b.2249.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-28b.xml,Botulinum Toxin and Cosmetic Fillers (Children) Act 2021
Bournemouth Borough Council Bill [Hl],uk.org.publicwhip/lords/2007-11-29b.1387.3,uk.org.publicwhip/lords/2007-11-29b.1401.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-11-29b.xml,NA
British Library Board (Power To Borrow) Bill - Third Reading,uk.org.publicwhip/lords/2021-04-26a.2088.2,uk.org.publicwhip/lords/2021-04-26a.2088.4,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-26a.xml,British Library Board (Power to Borrow) Act 2021
British Overseas Territories Bill [Hl],uk.org.publicwhip/lords/2001-10-30a.1299.4,uk.org.publicwhip/lords/2001-10-30a.1301.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-10-30a.xml,British Overseas Territories Act 2002
British Sign Language Bill - Third Reading,uk.org.publicwhip/lords/2022-04-27a.276.3,uk.org.publicwhip/lords/2022-04-27a.279.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-27a.xml,British Sign Language Act 2022
Broads Authority Bill,uk.org.publicwhip/lords/2009-06-11a.818.4,uk.org.publicwhip/lords/2009-06-11a.834.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-06-11a.xml,NA
Budget Responsibility And National Audit Bill [Hl],uk.org.publicwhip/lords/2011-02-07a.12.3,uk.org.publicwhip/lords/2011-02-07a.13.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-02-07a.xml,Budget Responsibility and National Audit Act 2011
Building Safety Bill - Third Reading,uk.org.publicwhip/lords/2022-04-04d.1844.4,uk.org.publicwhip/lords/2022-04-04d.1851.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-04d.xml,Building Safety Act 2022
