heading,first,last,file,leg_title
Strikes (Minimum Service Levels) Bill - Second Reading,uk.org.publicwhip/lords/2023-02-21a.1561.1,uk.org.publicwhip/lords/2023-02-21a.1606.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-02-21a.xml,Strikes (Minimum Service Levels) Act 2023
Strikes (Minimum Service Levels) Bill - Second Reading (Continued),uk.org.publicwhip/lords/2023-02-21a.1622.1,uk.org.publicwhip/lords/2023-02-21a.1639.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-02-21a.xml,Strikes (Minimum Service Levels) Act 2023
Supported Housing (Regulatory Oversight) Bill - Second Reading,uk.org.publicwhip/lords/2023-04-21a.941.1,uk.org.publicwhip/lords/2023-04-21a.957.4,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-04-21a.xml,Supported Housing (Regulatory Oversight) Act 2023
Taxation (International and Other Provisions) Bill,uk.org.publicwhip/lords/2010-02-24a.1073.6,uk.org.publicwhip/lords/2010-02-24a.1080.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-02-24a.xml,Taxation (International and Other Provisions) Act 2010
Taxation of Pensions Bill,uk.org.publicwhip/lords/2014-12-16a.164.3,uk.org.publicwhip/lords/2014-12-16a.164.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-12-16a.xml,Taxation of Pensions Act 2014
Technical and Further Education Bill - Second Reading,uk.org.publicwhip/lords/2017-02-01a.1206.5,uk.org.publicwhip/lords/2017-02-01a.1261.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-02-01a.xml,Technical and Further Education Act 2017
Trade (Australia and New Zealand) Bill - Second Reading,uk.org.publicwhip/lords/2023-01-09a.1230.5,uk.org.publicwhip/lords/2023-01-09a.1289.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-01-09a.xml,Trade (Australia and New Zealand) Act 2023
Traffic Management Bill,uk.org.publicwhip/lords/2004-04-01a.1530.1,uk.org.publicwhip/lords/2004-04-01a.1562.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-04-01a.xml,Traffic Management Act 2004
Transport Bill,uk.org.publicwhip/lords/2000-06-05a.924.5,uk.org.publicwhip/lords/2000-06-05a.1027.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-06-05a.xml,Transport Act 2000
Veterans Advisory and Pensions Committees Bill - Second Reading,uk.org.publicwhip/lords/2023-07-14a.2006.1,uk.org.publicwhip/lords/2023-07-14a.2013.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml,Veterans Advisory and Pensions Committees Act 2023
Waste and Emissions Trading Bill [HL],uk.org.publicwhip/lords/2002-12-03a.1032.7,uk.org.publicwhip/lords/2002-12-03a.1045.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-12-03a.xml,Waste and Emissions Trading Act 2003
Welfare Reform and Work Bill,uk.org.publicwhip/lords/2015-11-17a.28.6,uk.org.publicwhip/lords/2015-11-17a.124.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-11-17a.xml,Welfare Reform and Work Act 2016
Wreck Removal Convention Bill,uk.org.publicwhip/lords/2011-05-13a.1119.4,uk.org.publicwhip/lords/2011-05-13a.1136.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-05-13a.xml,Wreck Removal Convention Act 2011
Armed Forces Discipline Bill [H.L.],uk.org.publicwhip/lords/1999-11-29a.666.1,uk.org.publicwhip/lords/1999-11-29a.702.1,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-11-29a.xml,Armed Forces Discipline Act 2000 (repealed)
Care Standards Bill [H.L.] ,uk.org.publicwhip/lords/1999-12-13a.11.6,uk.org.publicwhip/lords/1999-12-13a.15.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-12-13a.xml,Care Standards Act 2000
Charities Bill [HL],uk.org.publicwhip/lords/2011-05-05a.637.6,uk.org.publicwhip/lords/2011-05-05a.650.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-05-05a.xml,Charities Act 2011
Children (Leaving Care) Bill [H.L.] ,uk.org.publicwhip/lords/1999-12-07a.1155.7,uk.org.publicwhip/lords/1999-12-07a.1186.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-12-07a.xml,Children (Leaving Care) Act 2000
Cluster Munitions (Prohibitions) Bill [HL],uk.org.publicwhip/lords/2009-12-08a.992.0,uk.org.publicwhip/lords/2009-12-08a.1019.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-12-08a.xml,Cluster Munitions (Prohibitions) Act 2010
 Crown Prosecution Service Inspectorate Bill [H.L.] ,uk.org.publicwhip/lords/1999-11-30a.760.4,uk.org.publicwhip/lords/1999-11-30a.772.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-11-30a.xml,Crown Prosecution Service Inspectorate Act 2000
Debt Relief (Developing Countries) Bill ,uk.org.publicwhip/lords/2010-04-08a.1695.4,uk.org.publicwhip/lords/2010-04-08a.1703.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-04-08a.xml,Debt Relief (Developing Countries) Act 2010
Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Bill ,uk.org.publicwhip/lords/2011-05-13a.1106.4,uk.org.publicwhip/lords/2011-05-13a.1118.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-05-13a.xml,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Act 2011
European Union (Withdrawal) (No. 6) Bill ,uk.org.publicwhip/lords/2019-09-05b.1148.5,uk.org.publicwhip/lords/2019-09-05b.1231.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-09-05b.xml,European Union (Withdrawal) (No. 2) Act 2019 (repealed)
Green Energy (Definition and Promotion) Bill,uk.org.publicwhip/lords/2009-10-13a.186.5,uk.org.publicwhip/lords/2009-10-13a.197.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-10-13a.xml,Green Energy (Definition and Promotion) Act 2009
Healthcare (International Arrangements) Bill - ,uk.org.publicwhip/lords/2019-02-05a.1445.6,uk.org.publicwhip/lords/2019-02-05a.1490.3,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-02-05a.xml,Healthcare (European Economic Area and Switzerland Arrangements) Act 2019
House of Lords Reform (No. 2) Bill — ,uk.org.publicwhip/lords/2014-03-28a.701.3,uk.org.publicwhip/lords/2014-03-28a.737.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-03-28a.xml,House of Lords Reform Act 2014
Limited Liability Partnerships Bill [H.L.],uk.org.publicwhip/lords/1999-12-09a.1419.1,uk.org.publicwhip/lords/1999-12-09a.1442.5,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-12-09a.xml,Limited Liability Partnerships Act 2000
Local Government Bill [H.L.],uk.org.publicwhip/lords/1999-12-06a.1020.4,uk.org.publicwhip/lords/1999-12-06a.1031.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-12-06a.xml,Local Government Act 2000
Marriage (Wales) Bill [HL] ,uk.org.publicwhip/lords/2009-12-11a.1290.4,uk.org.publicwhip/lords/2009-12-11a.1294.1,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-12-11a.xml,Marriage (Wales) Act 2010
Mutuals’ Redeemable and Deferred Shares Bill [HL] ,uk.org.publicwhip/lords/2014-10-24a.917.0,uk.org.publicwhip/lords/2014-10-24a.924.0,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-10-24a.xml,Mutuals' Deferred Shares Act 2015
 Northern Ireland (Ministerial Appointments and Regional Rates) Bill - ,uk.org.publicwhip/lords/2017-04-26b.1381.96,uk.org.publicwhip/lords/2017-04-26b.1381.112,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-04-26b.xml,Northern Ireland (Ministerial Appointments and Regional Rates) Act 2017
 Northern Ireland (Regional Rates and Energy) (No. 2) Bill - ,uk.org.publicwhip/lords/2019-03-12b.979.3,uk.org.publicwhip/lords/2019-03-12b.1011.1,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-03-12b.xml,Northern Ireland (Regional Rates and Energy) Act 2019
Nuclear Safeguards Bill [H.L.] ,uk.org.publicwhip/lords/1999-11-30a.775.1,uk.org.publicwhip/lords/1999-11-30a.785.2,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-11-30a.xml,Nuclear Safeguards Act 2000
 Private International Law (Implementation of Agreements) Bill [HL] - ,uk.org.publicwhip/lords/2020-03-17a.1439.3,uk.org.publicwhip/lords/2020-03-17a.1452.1,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-03-17a.xml,Private International Law (Implementation of Agreements) Act 2020
Race Relations (Amendment) Bill [H.L.] ,uk.org.publicwhip/lords/1999-12-14a.127.2,uk.org.publicwhip/lords/1999-12-14a.183.1,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord1999-12-14a.xml,Race Relations (Amendment) Act 2000
UK Borders Bill ,uk.org.publicwhip/lords/2007-06-13b.1697.83,uk.org.publicwhip/lords/2007-06-13b.1697.108,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-06-13b.xml,UK Borders Act 2007
Voyeurism (Offences) (No. 2) Bill - ,uk.org.publicwhip/lords/2018-10-23a.784.2,uk.org.publicwhip/lords/2018-10-23a.801.1,file:///mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-10-23a.xml,Voyeurism (Offences) Act 2019
