"wikidata_id","twfy_id"
"http://www.wikidata.org/entity/Q4120305","uk.org.publicwhip/cons/455"
"http://www.wikidata.org/entity/Q1080287","uk.org.publicwhip/cons/46"
"http://www.wikidata.org/entity/Q1031731","uk.org.publicwhip/cons/503"
"http://www.wikidata.org/entity/Q4119988","uk.org.publicwhip/cons/502"
"http://www.wikidata.org/entity/Q3138076","uk.org.publicwhip/cons/1668"
"http://www.wikidata.org/entity/Q4736997","uk.org.publicwhip/cons/828"
"http://www.wikidata.org/entity/Q43291394","uk.org.publicwhip/cons/729"
"http://www.wikidata.org/entity/Q5645753","uk.org.publicwhip/cons/818"
"http://www.wikidata.org/entity/Q4899790","uk.org.publicwhip/cons/819"
"http://www.wikidata.org/entity/Q11797258","uk.org.publicwhip/cons/904"
"http://www.wikidata.org/entity/Q5878675","uk.org.publicwhip/cons/1541"
"http://www.wikidata.org/entity/Q5597912","uk.org.publicwhip/cons/806"
"http://www.wikidata.org/entity/Q7796330","uk.org.publicwhip/cons/1321"
"http://www.wikidata.org/entity/Q3337330","uk.org.publicwhip/cons/273"
"http://www.wikidata.org/entity/Q11797244","uk.org.publicwhip/cons/1574"
"http://www.wikidata.org/entity/Q7569067","uk.org.publicwhip/cons/1613"
"http://www.wikidata.org/entity/Q1075452","uk.org.publicwhip/cons/329"
"http://www.wikidata.org/entity/Q7228170","uk.org.publicwhip/cons/933"
"http://www.wikidata.org/entity/Q4119978","uk.org.publicwhip/cons/86"
"http://www.wikidata.org/entity/Q1070328","uk.org.publicwhip/cons/337"
"http://www.wikidata.org/entity/Q751608","uk.org.publicwhip/cons/38"
"http://www.wikidata.org/entity/Q5566766","uk.org.publicwhip/cons/244"
"http://www.wikidata.org/entity/Q6538140","uk.org.publicwhip/cons/1591"
"http://www.wikidata.org/entity/Q988435","uk.org.publicwhip/cons/543"
"http://www.wikidata.org/entity/Q7571870","uk.org.publicwhip/cons/1391"
"http://www.wikidata.org/entity/Q1077488","uk.org.publicwhip/cons/28"
"http://www.wikidata.org/entity/Q7904008","uk.org.publicwhip/cons/787"
"http://www.wikidata.org/entity/Q5331564","uk.org.publicwhip/cons/1673"
"http://www.wikidata.org/entity/Q7967300","uk.org.publicwhip/cons/816"
"http://www.wikidata.org/entity/Q5904186","uk.org.publicwhip/cons/296"
"http://www.wikidata.org/entity/Q5459604","uk.org.publicwhip/cons/1072"
"http://www.wikidata.org/entity/Q42114997","uk.org.publicwhip/cons/1604"
"http://www.wikidata.org/entity/Q5912924","uk.org.publicwhip/cons/1314"
"http://www.wikidata.org/entity/Q1080424","uk.org.publicwhip/cons/335"
"http://www.wikidata.org/entity/Q874666","uk.org.publicwhip/cons/616"
"http://www.wikidata.org/entity/Q6735490","uk.org.publicwhip/cons/837"
"http://www.wikidata.org/entity/Q42968276","uk.org.publicwhip/cons/758"
"http://www.wikidata.org/entity/Q101170463","uk.org.publicwhip/cons/1070"
"http://www.wikidata.org/entity/Q1077371","uk.org.publicwhip/cons/277"
"http://www.wikidata.org/entity/Q5150880","uk.org.publicwhip/cons/1709"
"http://www.wikidata.org/entity/Q6658428","uk.org.publicwhip/cons/1266"
"http://www.wikidata.org/entity/Q6881035","uk.org.publicwhip/cons/1654"
"http://www.wikidata.org/entity/Q5879629","uk.org.publicwhip/cons/1377"
"http://www.wikidata.org/entity/Q5123767","uk.org.publicwhip/cons/854"
"http://www.wikidata.org/entity/Q1075433","uk.org.publicwhip/cons/266"
"http://www.wikidata.org/entity/Q11797265","uk.org.publicwhip/cons/1264"
"http://www.wikidata.org/entity/Q7974206","uk.org.publicwhip/cons/1645"
"http://www.wikidata.org/entity/Q262741","uk.org.publicwhip/cons/1661"
"http://www.wikidata.org/entity/Q5646107","uk.org.publicwhip/cons/1211"
"http://www.wikidata.org/entity/Q43291190","uk.org.publicwhip/cons/978"
"http://www.wikidata.org/entity/Q4898084","uk.org.publicwhip/cons/1198"
"http://www.wikidata.org/entity/Q7618214","uk.org.publicwhip/cons/946"
"http://www.wikidata.org/entity/Q1072703","uk.org.publicwhip/cons/291"
"http://www.wikidata.org/entity/Q6658410","uk.org.publicwhip/cons/1593"
"http://www.wikidata.org/entity/Q6084398","uk.org.publicwhip/cons/1212"
"http://www.wikidata.org/entity/Q43039739","uk.org.publicwhip/cons/732"
"http://www.wikidata.org/entity/Q4968964","uk.org.publicwhip/cons/1256"
"http://www.wikidata.org/entity/Q4916451","uk.org.publicwhip/cons/1563"
"http://www.wikidata.org/entity/Q4861894","uk.org.publicwhip/cons/1382"
"http://www.wikidata.org/entity/Q4899742","uk.org.publicwhip/cons/867"
"http://www.wikidata.org/entity/Q5680260","uk.org.publicwhip/cons/898"
"http://www.wikidata.org/entity/Q4120287","uk.org.publicwhip/cons/659"
"http://www.wikidata.org/entity/Q7125170","uk.org.publicwhip/cons/812"
