id,item,itemLabel.x,itemLabel.y,nuniq_id2item,nuniq_item2id
uk.org.publicwhip/person/10072,http://www.wikidata.org/entity/Q532347,Angela Browning,Angela Browning,1,1
uk.org.publicwhip/person/10385,http://www.wikidata.org/entity/Q5336300,Eddie McGrady,Eddie McGrady,1,1
uk.org.publicwhip/person/17577,http://www.wikidata.org/entity/Q5337267,Edgar Granville,Edgar Granville,1,1
uk.org.publicwhip/person/17598,http://www.wikidata.org/entity/Q5337269,Edgar Grierson,Edgar Grierson,1,1
uk.org.publicwhip/person/18780,http://www.wikidata.org/entity/Q5338644,Edith Pitt,Edith Pitt,1,1
uk.org.publicwhip/person/21754,http://www.wikidata.org/entity/Q5338693,Edith Wills,Edith Wills,1,1
uk.org.publicwhip/person/22499,http://www.wikidata.org/entity/Q5339661,Edmund Marshall,Edmund Marshall,1,1
uk.org.publicwhip/person/21849,http://www.wikidata.org/entity/Q5340127,Ednyfed Davies,Ednyfed Hudson Davies,1,1
uk.org.publicwhip/person/16671,http://www.wikidata.org/entity/Q5341899,Edward Bishop,Edward Bishop,1,1
uk.org.publicwhip/person/16757,http://www.wikidata.org/entity/Q5341978,Edward Boyle,Edward Boyle,1,1
uk.org.publicwhip/person/21760,http://www.wikidata.org/entity/Q5342036,Edward Brown,Edward Brown,1,1
uk.org.publicwhip/person/21755,http://www.wikidata.org/entity/Q5342221,Edward Carson,Edward Carson,1,1
uk.org.publicwhip/person/21757,http://www.wikidata.org/entity/Q5342798,Edward Evans,Edward Evans,1,1
uk.org.publicwhip/person/21762,http://www.wikidata.org/entity/Q5342934,Edward Fleming,Edward Fleming,1,1
uk.org.publicwhip/person/21761,http://www.wikidata.org/entity/Q5342937,Edward Fletcher,Edward Fletcher,1,1
uk.org.publicwhip/person/21763,http://www.wikidata.org/entity/Q5343062,Edward Gardner,Edward Gardner,1,1
uk.org.publicwhip/person/22501,http://www.wikidata.org/entity/Q5343188,Edward Griffiths,Edward Griffiths,1,1
uk.org.publicwhip/person/21758,http://www.wikidata.org/entity/Q5343309,Edward Hardy,Edward Arthur Hardy,1,1
uk.org.publicwhip/person/17965,http://www.wikidata.org/entity/Q5343890,Edward Keeling,Edward Keeling,1,1
uk.org.publicwhip/person/18174,http://www.wikidata.org/entity/Q5344222,Eddie Loyden,Edward Loyden,1,1
uk.org.publicwhip/person/10462,http://www.wikidata.org/entity/Q5344667,Edward O'Hara,Edward O'Hara,1,1
uk.org.publicwhip/person/21764,http://www.wikidata.org/entity/Q5344826,Edward Smith,Edward Percy Smith,1,1
uk.org.publicwhip/person/22500,http://www.wikidata.org/entity/Q5344884,Edward Porter,Edward Porter,1,1
uk.org.publicwhip/person/18884,http://www.wikidata.org/entity/Q5345010,Edward Redhead,Edward Redhead,1,1
uk.org.publicwhip/person/19422,http://www.wikidata.org/entity/Q5345769,Edward Wakefield,Edward Wakefield,1,1
uk.org.publicwhip/person/22658,http://www.wikidata.org/entity/Q5345919,Edward Williams,Edward Williams,1,1
uk.org.publicwhip/person/17223,http://www.wikidata.org/entity/Q5346052,Edward Du Cann,Edward du Cann,1,1
uk.org.publicwhip/person/21767,http://www.wikidata.org/entity/Q5346268,Edwin Brooks,Edwin Brooks,1,1
uk.org.publicwhip/person/21768,http://www.wikidata.org/entity/Q5346452,Edwin Gooch,Edwin Gooch,1,1
uk.org.publicwhip/person/18080,http://www.wikidata.org/entity/Q5346605,Edwin Leather,Edwin Leather,1,1
uk.org.publicwhip/person/19419,http://www.wikidata.org/entity/Q5346895,Edwin Wainwright,Edwin Wainwright,1,1
uk.org.publicwhip/person/10678,http://www.wikidata.org/entity/Q534727,David Lammy,David Lammy,1,1
uk.org.publicwhip/person/10235,http://www.wikidata.org/entity/Q5349373,Eileen Gordon,Eileen Gordon,1,1
uk.org.publicwhip/person/21769,http://www.wikidata.org/entity/Q5349851,Eirene White,Eirene White,1,1
uk.org.publicwhip/person/16865,http://www.wikidata.org/entity/Q5353173,Elaine Burton,Elaine Burton,1,1
uk.org.publicwhip/person/22503,http://www.wikidata.org/entity/Q5354033,Eldon Griffiths,Eldon Griffiths,1,1
uk.org.publicwhip/person/21850,http://www.wikidata.org/entity/Q5359883,Gwilym Davies,Elfed Davies,1,1
uk.org.publicwhip/person/10444,http://www.wikidata.org/entity/Q5365535,Elliot Morley,Elliot Morley,1,1
uk.org.publicwhip/person/21771,http://www.wikidata.org/entity/Q5365996,Ellis Smith,Ellis Smith,1,1
uk.org.publicwhip/person/21772,http://www.wikidata.org/entity/Q5372675,Emlyn Evans,Garner Evans,1,1
uk.org.publicwhip/person/21774,http://www.wikidata.org/entity/Q5374807,Emrys Roberts,Emrys Roberts,1,1
uk.org.publicwhip/person/16841,http://www.wikidata.org/entity/Q5386206,Eric Bullus,Eric Bullus,1,1
uk.org.publicwhip/person/16998,http://www.wikidata.org/entity/Q5386297,Eric Cockeram,Eric Cockeram,1,1
uk.org.publicwhip/person/17154,http://www.wikidata.org/entity/Q5386364,Eric Deakins,Eric Deakins,1,1
uk.org.publicwhip/person/21777,http://www.wikidata.org/entity/Q5386492,Eric Fletcher,Eric Fletcher,1,1
uk.org.publicwhip/person/10206,http://www.wikidata.org/entity/Q5386503,Eric Forth,Eric Forth,1,1
uk.org.publicwhip/person/17215,http://www.wikidata.org/entity/Q5386555,Eric Gandar-Dower,Eric Gandar Dower,1,1
uk.org.publicwhip/person/21780,http://www.wikidata.org/entity/Q5386826,Eric Johnson,Eric Johnson,1,1
uk.org.publicwhip/person/10421,http://www.wikidata.org/entity/Q5387054,Eric Martlew,Eric Martlew,1,1
uk.org.publicwhip/person/18498,http://www.wikidata.org/entity/Q5387126,Eric Moonman,Eric Moonman,1,1
uk.org.publicwhip/person/18661,http://www.wikidata.org/entity/Q5387208,Eric Ogden,Eric Ogden,1,1
uk.org.publicwhip/person/21778,http://www.wikidata.org/entity/Q5387539,Eric Smith,Eric Smith,1,1
