person_id,speaker,person,personLabel
uk.org.publicwhip/person/13289,NA,http://www.wikidata.org/entity/Q335692,"James Graham, 8th Duke of Montrose"
uk.org.publicwhip/person/13298,NA,http://www.wikidata.org/entity/Q1292220,"Edward Foljambe, 5th Earl of Liverpool"
uk.org.publicwhip/person/13324,NA,http://www.wikidata.org/entity/Q1331318,"Elizabeth Smith, Baroness Smith of Gilmorehill"
uk.org.publicwhip/person/13351,NA,http://www.wikidata.org/entity/Q335726,"Malcolm Sinclair, 20th Earl of Caithness"
uk.org.publicwhip/person/13377,NA,NA,NA
uk.org.publicwhip/person/13450,NA,http://www.wikidata.org/entity/Q574174,"Anthony Young, Baron Young of Norwood Green"
uk.org.publicwhip/person/13633,NA,http://www.wikidata.org/entity/Q335733,"John Montagu, 11th Earl of Sandwich"
uk.org.publicwhip/person/13646,NA,http://www.wikidata.org/entity/Q177104,"Francis Hare, 6th Earl of Listowel"
uk.org.publicwhip/person/13647,NA,http://www.wikidata.org/entity/Q335679,"James Lindesay-Bethune, 16th Earl of Lindsay"
uk.org.publicwhip/person/13716,NA,http://www.wikidata.org/entity/Q508131,Andrew Turnbull
uk.org.publicwhip/person/13856,NA,http://www.wikidata.org/entity/Q501860,Margaret Ritchie
uk.org.publicwhip/person/13920,NA,http://www.wikidata.org/entity/Q335930,"David Neuberger, Baron Neuberger of Abbotsbury"
uk.org.publicwhip/person/13935,NA,http://www.wikidata.org/entity/Q9682,Elizabeth II
uk.org.publicwhip/person/17722,NA,http://www.wikidata.org/entity/Q7345346,Robert Hayward
uk.org.publicwhip/person/18019,NA,http://www.wikidata.org/entity/Q334035,Timothy Kirkhope
uk.org.publicwhip/person/24711,NA,http://www.wikidata.org/entity/Q269638,Jenny Chapman
uk.org.publicwhip/person/24732,NA,http://www.wikidata.org/entity/Q580375,Nicky Morgan
uk.org.publicwhip/person/24801,NA,http://www.wikidata.org/entity/Q391029,Lorraine Fullbrook
uk.org.publicwhip/person/24837,NA,http://www.wikidata.org/entity/Q261214,John Woodcock
uk.org.publicwhip/person/24842,NA,http://www.wikidata.org/entity/Q263969,Nicola Blackwood
uk.org.publicwhip/person/24863,NA,http://www.wikidata.org/entity/Q260651,Gavin Barwell
uk.org.publicwhip/person/24883,NA,http://www.wikidata.org/entity/Q303639,Graham Evans
uk.org.publicwhip/person/24895,NA,http://www.wikidata.org/entity/Q728063,Jo Johnson
uk.org.publicwhip/person/24911,NA,http://www.wikidata.org/entity/Q391562,Zac Goldsmith
uk.org.publicwhip/person/24930,NA,http://www.wikidata.org/entity/Q264337,James Wharton
uk.org.publicwhip/person/24952,NA,http://www.wikidata.org/entity/Q264776,Angie Bray
uk.org.publicwhip/person/24954,NA,http://www.wikidata.org/entity/Q478291,Richard Harrington
uk.org.publicwhip/person/25185,NA,http://www.wikidata.org/entity/Q1375680,Mervyn King
uk.org.publicwhip/person/25217,NA,http://www.wikidata.org/entity/Q6260516,John Thomas
uk.org.publicwhip/person/25251,NA,http://www.wikidata.org/entity/Q7298569,"Raymond Asquith, 3rd Earl of Oxford and Asquith"
uk.org.publicwhip/person/25253,NA,http://www.wikidata.org/entity/Q4793584,Arminka Helic
uk.org.publicwhip/person/25261,NA,http://www.wikidata.org/entity/Q3021576,"John Seymour, 19th Duke of Somerset"
uk.org.publicwhip/person/25262,NA,http://www.wikidata.org/entity/Q7349356,Robert Rogers
uk.org.publicwhip/person/25263,NA,http://www.wikidata.org/entity/Q4813336,Nick Baines
uk.org.publicwhip/person/25264,NA,http://www.wikidata.org/entity/Q19271582,"Roualeyn Hovell-Thurlow-Cumming-Bruce, 9th Baron Thurlow"
uk.org.publicwhip/person/25265,NA,http://www.wikidata.org/entity/Q3339662,Nick Holtam
uk.org.publicwhip/person/25355,NA,http://www.wikidata.org/entity/Q5004338,Byron Davies
uk.org.publicwhip/person/25358,NA,http://www.wikidata.org/entity/Q19874021,Sue Hayman
uk.org.publicwhip/person/25435,NA,http://www.wikidata.org/entity/Q19586268,"Ruth Smeeth, Baroness Anderson of Stoke-on-Trent"
uk.org.publicwhip/person/25441,NA,http://www.wikidata.org/entity/Q20011247,Andrew Dunlop
uk.org.publicwhip/person/25442,NA,http://www.wikidata.org/entity/Q4933017,"Bob Kerslake, Baron Kerslake"
uk.org.publicwhip/person/25443,NA,http://www.wikidata.org/entity/Q20090344,"George Bridges, Baron Bridges of Headley"
uk.org.publicwhip/person/25444,NA,http://www.wikidata.org/entity/Q1689184,Jim O'Neill
uk.org.publicwhip/person/25445,NA,http://www.wikidata.org/entity/Q7366967,Ros Altmann
uk.org.publicwhip/person/25446,NA,http://www.wikidata.org/entity/Q7327017,Richard Keen
uk.org.publicwhip/person/25453,NA,http://www.wikidata.org/entity/Q21066179,"Philip Smith, Baron Smith of Hindhead"
uk.org.publicwhip/person/25454,NA,http://www.wikidata.org/entity/Q2960441,"Charles Wellesley, 9th Duke of Wellington"
uk.org.publicwhip/person/25455,NA,http://www.wikidata.org/entity/Q6837165,Michelle Mone
uk.org.publicwhip/person/25456,NA,http://www.wikidata.org/entity/Q21066183,"Stephen Gilbert, Baron Gilbert of Panteg"
uk.org.publicwhip/person/25457,NA,http://www.wikidata.org/entity/Q21066154,Stuart Polak
uk.org.publicwhip/person/25458,NA,http://www.wikidata.org/entity/Q20876622,James O'Shaughnessy
uk.org.publicwhip/person/25459,NA,http://www.wikidata.org/entity/Q7184737,Philippa Stroud
uk.org.publicwhip/person/25460,NA,http://www.wikidata.org/entity/Q21066156,Shas Sheehan
uk.org.publicwhip/person/25461,NA,http://www.wikidata.org/entity/Q7279429,Rachel Treweek
uk.org.publicwhip/person/25462,NA,http://www.wikidata.org/entity/Q15989975,Jeffrey Richard de Corban Evans
uk.org.publicwhip/person/25463,NA,http://www.wikidata.org/entity/Q21266683,"Patrick Lawrence, 5th Baron Trevethin"
uk.org.publicwhip/person/25464,NA,http://www.wikidata.org/entity/Q6275803,Jonny Oates
uk.org.publicwhip/person/25465,NA,http://www.wikidata.org/entity/Q21066184,Liz Redfern
uk.org.publicwhip/person/25466,NA,http://www.wikidata.org/entity/Q21061851,James Lupton
uk.org.publicwhip/person/25467,NA,http://www.wikidata.org/entity/Q21066153,Emma Pidding
uk.org.publicwhip/person/25468,NA,http://www.wikidata.org/entity/Q6152735,Jane Scott
uk.org.publicwhip/person/25469,NA,http://www.wikidata.org/entity/Q21066181,Gary Porter
uk.org.publicwhip/person/25470,NA,http://www.wikidata.org/entity/Q21066157,Kevin Shinkwin
uk.org.publicwhip/person/25471,NA,http://www.wikidata.org/entity/Q21066177,Kate Rock
uk.org.publicwhip/person/25472,NA,http://www.wikidata.org/entity/Q1647774,"Nicholas Fairfax, 14th Lord Fairfax of Cameron"
uk.org.publicwhip/person/25473,NA,http://www.wikidata.org/entity/Q21066158,Simone Finn
uk.org.publicwhip/person/25474,NA,http://www.wikidata.org/entity/Q16195206,Ruby McGregor-Smith
uk.org.publicwhip/person/25476,NA,http://www.wikidata.org/entity/Q456877,Sharon Bowles
uk.org.publicwhip/person/25477,NA,http://www.wikidata.org/entity/Q7576121,Spencer Livermore
uk.org.publicwhip/person/25478,NA,http://www.wikidata.org/entity/Q5298657,Dorothy Thornhill
uk.org.publicwhip/person/25479,NA,http://www.wikidata.org/entity/Q6221956,John Bird
uk.org.publicwhip/person/25480,NA,http://www.wikidata.org/entity/Q5052658,Catherine Fall
uk.org.publicwhip/person/25481,NA,http://www.wikidata.org/entity/Q21705133,"Mary Watkins, Baroness Watkins of Tavistock"
uk.org.publicwhip/person/25486,NA,http://www.wikidata.org/entity/Q49031,Julia King
uk.org.publicwhip/person/25487,NA,http://www.wikidata.org/entity/Q6769331,Mark Price
uk.org.publicwhip/person/25488,NA,http://www.wikidata.org/entity/Q2158166,Robert Mair
