person_id,family_name,given_name,item
uk.org.publicwhip/person/16721,Boston,Terence,https://www.wikidata.org/wiki/Q1419462
uk.org.publicwhip/person/21834,Mackie,George,https://www.wikidata.org/wiki/Q1507828
uk.org.publicwhip/person/22235,Molloy,William,https://www.wikidata.org/wiki/Q8015715
uk.org.publicwhip/person/22486,Dean,Paul,https://www.wikidata.org/wiki/Q334578
uk.org.publicwhip/person/18679,Orme,Stan,https://www.wikidata.org/wiki/Q16294802
uk.org.publicwhip/person/19398,Varley,Eric,https://www.wikidata.org/wiki/Q334327
uk.org.publicwhip/person/16475,Williams,Shirley,https://www.wikidata.org/wiki/Q333250
uk.org.publicwhip/person/16684,Blaker,Peter,https://www.wikidata.org/wiki/Q333650
uk.org.publicwhip/person/19173,St John-Stevas,Norman,https://www.wikidata.org/wiki/Q333578
uk.org.publicwhip/person/21890,Jenkins,Hugh,https://www.wikidata.org/wiki/Q5931275
uk.org.publicwhip/person/17853,Howe,Geoffrey,https://www.wikidata.org/wiki/Q332323
uk.org.publicwhip/person/21654,Morris,Alf,https://www.wikidata.org/wiki/Q336911
uk.org.publicwhip/person/21738,Johnston,Russell,https://www.wikidata.org/wiki/Q333754
uk.org.publicwhip/person/19713,Younger,George,https://www.wikidata.org/wiki/Q259836
uk.org.publicwhip/person/18487,Monro,Hector,https://www.wikidata.org/wiki/Q335747
uk.org.publicwhip/person/21941,Barnett,Joel,https://www.wikidata.org/wiki/Q333079
uk.org.publicwhip/person/21909,Richard,Ivor,https://www.wikidata.org/wiki/Q333309
uk.org.publicwhip/person/22536,Page,Derek,https://www.wikidata.org/wiki/Q5262246
uk.org.publicwhip/person/22172,Higgins,Terence,https://www.wikidata.org/wiki/Q333439
uk.org.publicwhip/person/22490,Jenkin,Patrick,https://www.wikidata.org/wiki/Q24082
uk.org.publicwhip/person/19469,Weatherill,Bernard,https://www.wikidata.org/wiki/Q822768
uk.org.publicwhip/person/17946,Jopling,Michael,https://www.wikidata.org/wiki/Q332875
uk.org.publicwhip/person/21715,Onslow,Cranley,https://www.wikidata.org/wiki/Q16061349
uk.org.publicwhip/person/21855,Walker,Harold,https://www.wikidata.org/wiki/Q1585945
uk.org.publicwhip/person/16896,Carlisle,Mark,https://www.wikidata.org/wiki/Q6767006
uk.org.publicwhip/person/19084,Shore,Peter,https://www.wikidata.org/wiki/Q7176922
uk.org.publicwhip/person/18556,Murton,Oscar,https://www.wikidata.org/wiki/Q2032852
uk.org.publicwhip/person/17704,Hattersley,Roy,https://www.wikidata.org/wiki/Q333692
uk.org.publicwhip/person/22145,Buxton,Ronald,https://www.wikidata.org/wiki/Q7364710
uk.org.publicwhip/person/17405,Fitt,Gerry,https://www.wikidata.org/wiki/Q333646
uk.org.publicwhip/person/19719,Ashley,Jack,https://www.wikidata.org/wiki/Q333607
uk.org.publicwhip/person/16494,Archer,Peter,https://www.wikidata.org/wiki/Q1617771
uk.org.publicwhip/person/22530,Knight,Jill,https://www.wikidata.org/wiki/Q337162
uk.org.publicwhip/person/17952,Judd,Frank,https://www.wikidata.org/wiki/Q1443517
uk.org.publicwhip/person/22158,Hughes,Roy,https://www.wikidata.org/wiki/Q16293034
uk.org.publicwhip/person/21721,Morgan,Elystan,https://www.wikidata.org/wiki/Q333924
uk.org.publicwhip/person/21725,Owen,David,https://www.wikidata.org/wiki/Q333085
uk.org.publicwhip/person/21726,Howell,David,https://www.wikidata.org/wiki/Q333046
uk.org.publicwhip/person/19710,Wright,Esmond,https://www.wikidata.org/wiki/Q5398581
uk.org.publicwhip/person/16699,Boardman,Thomas,https://www.wikidata.org/wiki/Q7814996
uk.org.publicwhip/person/22010,Baker,Kenneth,https://www.wikidata.org/wiki/Q333390
uk.org.publicwhip/person/22223,Williams,Donald,https://www.wikidata.org/wiki/Q5295315
uk.org.publicwhip/person/16422,Waddington,David,https://www.wikidata.org/wiki/Q334565
uk.org.publicwhip/person/22004,Campbell,Keith,https://www.wikidata.org/wiki/Q4977226
uk.org.publicwhip/person/18067,Lawler,Wallace,https://www.wikidata.org/wiki/Q7962840
uk.org.publicwhip/person/21674,Latham,Arthur,https://www.wikidata.org/wiki/Q4799452
uk.org.publicwhip/person/21706,Ward,Christopher,https://www.wikidata.org/wiki/Q5113385
uk.org.publicwhip/person/19270,Tebbit,Norman,https://www.wikidata.org/wiki/Q336011
uk.org.publicwhip/person/22561,Davis,Clinton,https://www.wikidata.org/wiki/Q333554
